PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,BIRTHDATE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,POSITION,ROSTERSTATUS,TEAM_ID,FROM_YEAR,TO_YEAR,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
1629121,Jaylen,Adams,Jaylen Adams,1996-05-04T00:00:00,St. Bonaventure,USA,6-2,190,Guard,Active,1610612737,2018,2018,Undrafted,Undrafted,Undrafted
203500,Steven,Adams,Steven Adams,1993-07-20T00:00:00,Pittsburgh,New Zealand,7-0,265,Center,Active,1610612760,2013,2018,2013,1,12
1628389,Bam,Adebayo,Bam Adebayo,1997-07-18T00:00:00,Kentucky,USA,6-10,255,Center-Forward,Active,1610612748,2017,2018,2017,1,14
1629061,Deng,Adel,Deng Adel,1997-02-01T00:00:00,,South Sudan,6-7,200,Forward,Active,1610612739,2018,2018,Undrafted,Undrafted,Undrafted
200746,LaMarcus,Aldridge,LaMarcus Aldridge,1985-07-19T00:00:00,Texas,USA,6-11,260,Center-Forward,Active,1610612759,2006,2018,2006,1,2
1628959,Rawle,Alkins,Rawle Alkins,1997-10-29T00:00:00,,USA,6-5,225,Guard,Active,1610612741,2018,2018,Undrafted,Undrafted,Undrafted
1628960,Grayson,Allen,Grayson Allen,1995-10-08T00:00:00,Duke,USA,6-5,198,Guard,Active,1610612762,2018,2018,2018,1,21
1628386,Jarrett,Allen,Jarrett Allen,1998-04-21T00:00:00,Texas,USA,6-11,237,Center,Active,1610612751,2017,2018,2017,1,22
1628443,Kadeem,Allen,Kadeem Allen,1993-01-15T00:00:00,Arizona,USA,6-3,200,Guard,Active,1610612738,2017,2018,2017,2,53
202329,Al-Farouq,Aminu,Al-Farouq Aminu,1990-09-21T00:00:00,Wake Forest,USA,6-9,220,Forward,Active,1610612757,2010,2018,2010,1,8
1626147,Justin,Anderson,Justin Anderson,1993-11-19T00:00:00,Virginia,USA,6-6,230,Guard-Forward,Active,1610612737,2015,2018,2015,1,21
203937,Kyle,Anderson,Kyle Anderson,1993-09-20T00:00:00,UCLA,USA,6-9,230,Forward,Active,1610612763,2014,2018,2014,1,30
201583,Ryan,Anderson,Ryan Anderson,1988-05-06T00:00:00,California,USA,6-10,240,Forward,Active,1610612748,2008,2018,2008,1,21
203507,Giannis,Antetokounmpo,Giannis Antetokounmpo,1994-12-06T00:00:00,Greece,Greece,6-11,242,Forward,Active,1610612749,2013,2018,2013,1,15
1628961,Kostas,Antetokounmpo,Kostas Antetokounmpo,1997-11-20T00:00:00,Dayton,Greece,6-10,200,Forward,Active,1610612742,2018,2018,2018,2,60
1628384,OG,Anunoby,OG Anunoby,1997-07-17T00:00:00,Indiana,United Kingdom,6-8,232,Forward,Active,1610612761,2017,2018,2017,1,23
1627853,Ryan,Arcidiacono,Ryan Arcidiacono,1994-03-26T00:00:00,Villanova,USA,6-3,200,Guard,Active,1610612741,2017,2018,Undrafted,Undrafted,Undrafted
2772,Trevor,Ariza,Trevor Ariza,1985-06-30T00:00:00,UCLA,USA,6-8,215,Forward,Active,1610612764,2004,2018,2004,2,43
201571,D.J.,Augustin,D.J. Augustin,1987-11-10T00:00:00,Texas,USA,6-0,183,Guard,Active,1610612753,2008,2018,2008,1,9
1629028,Deandre,Ayton,Deandre Ayton,1998-07-23T00:00:00,Arizona,Bahamas,7-1,250,Center,Active,1610612756,2018,2018,2018,1,1
1628407,Dwayne,Bacon,Dwayne Bacon,1995-08-30T00:00:00,Florida State,USA,6-7,221,Guard-Forward,Active,1610612766,2017,2018,2017,2,40
1628963,Marvin,Bagley III,Marvin Bagley III,1999-03-14T00:00:00,Duke,USA,6-11,234,Forward,Active,1610612758,2018,2018,2018,1,2
1628366,Lonzo,Ball,Lonzo Ball,1997-10-27T00:00:00,California-Los Angeles,USA,6-6,190,Guard,Active,1610612747,2017,2018,2017,1,2
1628964,Mo,Bamba,Mo Bamba,1998-05-12T00:00:00,Texas,USA,7-0,221,Center,Active,1610612753,2018,2018,2018,1,6
200826,J.J.,Barea,J.J. Barea,1984-06-26T00:00:00,Northeastern,Puerto Rico,6-0,185,Guard,Active,1610612742,2006,2018,Undrafted,Undrafted,Undrafted
203084,Harrison,Barnes,Harrison Barnes,1992-05-30T00:00:00,North Carolina,USA,6-8,225,Forward,Active,1610612758,2012,2018,2012,1,7
203115,Will,Barton,Will Barton,1991-01-06T00:00:00,Memphis,USA,6-6,190,Guard,Active,1610612743,2012,2018,2012,2,40
1628966,Keita,Bates-Diop,Keita Bates-Diop,1996-01-23T00:00:00,Ohio State,USA,6-9,229,Forward,Active,1610612750,2018,2018,2018,2,48
201587,Nicolas,Batum,Nicolas Batum,1988-12-14T00:00:00,"Lisieux, France",France,6-8,200,Forward-Guard,Active,1610612766,2008,2018,2008,1,25
201573,Jerryd,Bayless,Jerryd Bayless,1988-08-20T00:00:00,Arizona,USA,6-3,200,Guard,Active,1610612750,2008,2018,2008,1,11
203382,Aron,Baynes,Aron Baynes,1986-12-09T00:00:00,Washington State,Australia,6-10,260,Center-Forward,Active,1610612738,2012,2018,Undrafted,Undrafted,Undrafted
203145,Kent,Bazemore,Kent Bazemore,1989-07-01T00:00:00,Old Dominion,USA,6-5,201,Guard,Active,1610612737,2012,2018,Undrafted,Undrafted,Undrafted
203078,Bradley,Beal,Bradley Beal,1993-06-28T00:00:00,Florida,USA,6-5,207,Guard,Active,1610612764,2012,2018,2012,1,3
1627736,Malik,Beasley,Malik Beasley,1996-11-26T00:00:00,Florida State,USA,6-5,195,Guard,Active,1610612743,2016,2018,2016,1,19
201158,Marco,Belinelli,Marco Belinelli,1986-03-25T00:00:00,"Bologna, Italy",Italy,6-5,210,Guard-Forward,Active,1610612759,2007,2018,2007,1,18
1628395,Jordan,Bell,Jordan Bell,1995-01-07T00:00:00,Oregon,USA,6-9,224,Forward,Active,1610612744,2017,2018,2017,2,38
1627761,DeAndre',Bembry,DeAndre' Bembry,1994-07-04T00:00:00,Saint Joseph's,USA,6-6,210,Forward,Active,1610612737,2016,2018,2016,1,21
1627733,Dragan,Bender,Dragan Bender,1997-11-17T00:00:00,,Croatia,7-1,225,Forward,Active,1610612756,2016,2018,2016,1,4
1629541,Dairis,Bertans,Dairis Bertans,1989-09-09T00:00:00,,Latvia,6-4,200,Guard,Active,1610612740,2018,2018,Undrafted,Undrafted,Undrafted
202722,Davis,Bertans,Davis Bertans,1992-11-12T00:00:00,,Latvia,6-10,225,Forward,Active,1610612759,2016,2018,2011,2,42
201976,Patrick,Beverley,Patrick Beverley,1988-07-12T00:00:00,Arkansas,USA,6-1,185,Guard,Active,1610612746,2012,2018,2009,2,42
